title,ontology/activeYearsStartYear,ontology/predecessor_label,ontology/parent_label,ontology/deathPlace_label,ontology/successor_label,ontology/title,ontology/activeYearsEndYear,ontology/birthPlace_label,http://purl.org/dc/elements/1.1/description,ontology/deathYear,ontology/spouse_label,ontology/birthYear,ontology/restingPlace_label,ontology/alias,http://www.w3.org/2002/07/owl#differentFrom_label,ontology/deathDate,ontology/birthDate,http://www.w3.org/2000/01/rdf-schema#seeAlso_label,ontology/occupation_label,http://www.w3.org/2003/01/geo/wgs84_pos#long,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.georss.org/georss/point,ontology/viafId,ontology/birthName,ontology/royalAnthem_label,ontology/royalAnthem,ontology/soundRecording,ontology/soundRecording_label,ontology/nationality_label,ontology/nationality,ontology/imdbId,ontology/country_label,ontology/personFunction_label,ontology/education_label,ontology/personFunction,ontology/education,ontology/knownFor_label,ontology/knownFor,ontology/almaMater,ontology/almaMater_label,ontology/residence,ontology/residence_label,ontology/networth,ontology/board,ontology/board_label,ontology/stateOfOrigin,ontology/stateOfOrigin_label,ontology/relative_label,ontology/relative
"Charles_III,_Duke_of_Parma",1849,Charles II Duke of Parma,"[""Charles II Duke of Parma"",""Princess Maria Teresa of Savoy""]","[""Parma"",""Duchy of Parma""]",Robert I Duke of Parma,Duke of Parma and Piacenza,1854,"[""Lucca"",""Duchy of Parma""]",,,Princess Louise Marie Thérèse of Artois,,Viareggio,,,1854-03-27,1823-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_III,_Duke_of_Savoy",,,"[""Philip II Duke of Savoy"",""Claudine de Brosse""]",Vercelli,,Duke of Savoy,,Chazey-sur-Ain,,,Beatrice of Portugal Duchess of Savoy,,,,,1553-08-17,1486-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_III,_Prince_of_Guéméné",,,Charles_II_Prince_of_Guéméné,,,Prince of Guéméné,,,French noble,1727,,1655,,,,1727-10-10,1655-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_III,_Prince_of_Monaco",1856,Florestan I Prince of Monaco,"[""Florestan I Prince of Monaco"",""Maria Caroline Gibert de Lametz""]",Château_de_Marchais,Albert I Prince of Monaco,,1889,"[""Paris"",""Bourbon Restoration""]",,,Antoinette de Mérode,,"[""Monaco"",""Monaco City"",""Saint Nicholas Cathedral Monaco""]",,,1889-09-10,1818-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_III_Philip,_Elector_Palatine",1716,Johann Wilhelm Elector Palatine,"[""Philip William Elector Palatine"",""Landgravine Elisabeth Amalie of Hesse-Darmstadt""]",Mannheim,Charles Theodore Elector of Bavaria,Elector Palatine,1742,Neuburg an der Donau,,,"[""Teresa Lubomirska"",""Ludwika Karolina Radziwiłł""]",,,,,1742-12-31,1661-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_III_William,_Margrave_of_Baden-Durlach",,,"[""Frederick VII Margrave of Baden-Durlach"",""Augusta Marie of Holstein-Gottorp""]",Karlsruhe,,Margrave of Baden-Durlach,,Durlach,Margrave of Baden-Durlach (1709-1738),1738,Magdalena Wilhelmine of Württemberg,1679,,Markgraf Karl III. Wilhelm von Baden-Durlach (German),,1738-05-12,"[""1679-01-17"",""1679-01-27""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_III_of_Naples,1382,Joanna I of Naples,"[""Louis Count of Gravina"",""Margaret_of_Sanseverino""]","[""Visegrád"",""Kingdom of Hungary""]",Ladislaus of Naples,,1382,"[""Naples"",""Kingdom of Naples""]",,,Margaret of Durazzo,,,,,1386-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_III_of_Navarre,1387,Charles II of Navarre,"[""Charles II of Navarre"",""Joan of Valois Queen of Navarre""]",Palacio Real de Olite,Blanche I of Navarre,,1425,Mantes-la-Jolie,,,Eleanor of Castile Queen of Navarre,,,,,1425-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_III_of_Spain,1759,Ferdinand VI of Spain,"[""Philip V of Spain"",""Elisabeth Farnese""]","[""Spain"",""Royal Palace of Madrid""]",Charles IV of Spain,,,"[""Spain"",""Royal Alcazar of Madrid""]",,,Maria Amalia of Saxony,,El Escorial,,"[""War of the Spanish Succession"",""Charles VI Holy Roman Emperor""]",1788-12-14,1716-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_II_August,_Duke_of_Zweibrücken",,,"[""Countess Palatine Maria Franziska of Sulzbach"",""Frederick Michael Count Palatine of Zweibrücken""]",Mannheim,,Duke of Zweibrücken,,Düsseldorf,Duke of Zweibrücken Count Palatine of Birkenfeld-Bischweiler,1795,Princess Maria Amalia of Saxony,1746,,Karl III. August Christian Herzog von Pfalz-Zweibrücken (German),,1795-04-01,1746-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_II_of_England,1660,Charles I of England,"[""Charles I of England"",""Henrietta Maria of France""]",Palace of Whitehall,James II of England,,1660,"[""Kingdom of England"",""St James's Palace""]",,,Catherine of Braganza,,Westminster Abbey,,,1685-02-06,1630-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_II_of_Naples,1285,Charles I of Naples,"[""Charles I of Naples"",""Beatrice of Provence""]","[""Naples"",""Kingdom of Naples""]",Robert King of Naples,,1285,,,,Mary of Hungary Queen of Naples,,,,,1309-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_II_of_Navarre,1349,Joan II of Navarre,"[""Joan II of Navarre"",""Philip III of Navarre""]",Pamplona,Charles III of Navarre,,1387,Évreux,,,Joan of Valois Queen of Navarre,,,,,1387-01-01,1332-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_II_of_Spain,1665,Philip IV of Spain,"[""Philip IV of Spain"",""Mariana of Austria""]","[""Madrid"",""Monarchy of Spain""]",Philip V of Spain,,,"[""Habsburg Spain"",""Royal Alcazar of Madrid""]",,,"[""Maria Anna of Neuburg"",""Marie Louise of Orléans (1662–1689)""]",,"[""El Escorial"",""Monarchy of Spain""]",,,1700-11-01,1661-11-06,Treaty of Utrecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_IV,_Duke_of_Lorraine",,,"[""Francis II Duke of Lorraine"",""Christina of Salm""]",Allenbach,,Duke of Lorraine,,Nancy France,,,"[""Nicole Duchess of Lorraine"",""Béatrix de Cusance"",""Marie Louise d'Aspremont""]",,,,,1675-09-18,1604-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_IV,_Holy_Roman_Emperor",1346,John of Bohemia,"[""John of Bohemia"",""Elizabeth of Bohemia (1292–1330)""]",Prague,Wenceslaus IV of Bohemia,,1378,Prague,,,"[""Elizabeth of Pomerania"",""Anne of Bavaria"",""Blanche of Valois"",""Anna von Schweidnitz""]",,"[""Prague"",""St. Vitus Cathedral""]",,,1378-11-29,1316-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_IV_of_France,1322,Philip V of France,"[""Philip IV of France"",""Joan I of Navarre""]",Vincennes,Philip VI of France,,1328,Clermont Oise,,,"[""Jeanne d'Évreux"",""Blanche of Burgundy"",""Marie of Luxembourg Queen of France""]",,,,,1328-02-01,1294-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_IV_of_Spain,1788,Charles III of Spain,"[""Charles III of Spain"",""Maria Amalia of Saxony""]","[""Rome"",""Papal States"",""Palazzo Barberini""]",Ferdinand VII of Spain,,,"[""Kingdom of Naples"",""Portici"",""Palace of Portici""]",,,Maria Luisa of Parma,,El Escorial,,,1819-01-20,1748-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_IX_of_France,1560,Francis II of France,"[""Catherine de' Medici"",""Henry II of France""]",Vincennes,Henry III of France,,1574,Saint-Germain-en-Laye,,,Elisabeth of Austria Queen of France,,,,,1574-05-30,1550-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_IX_of_Sweden,1604,Sigismund III Vasa,"[""Gustav I of Sweden"",""Margaret Leijonhufvud""]",Nyköping Castle,Gustavus Adolphus of Sweden,,1611,Tre Kronor (castle),,,"[""Christina of Holstein-Gottorp"",""Maria of the Palatinate-Simmern""]",,Strängnäs Cathedral,,,1611-10-30,1550-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_I_of_Austria,1916,Franz Joseph I of Austria,"[""Archduke Otto of Austria (1865–1906)"",""Princess Maria Josepha of Saxony (1867–1944)""]","[""Madeira"",""Portugal""]",,,,"[""Austria-Hungary"",""Persenbeug-Gottsdorf""]",,,Zita of Bourbon-Parma,,,,,1922-04-01,1887-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_I_of_England,1625,James VI and I,"[""Anne of Denmark"",""James VI and I""]",Palace of Whitehall,"[""Charles II of England"",""English Council of State""]",,1625,"[""Dunfermline"",""Kingdom of Scotland"",""Dunfermline Palace""]",,,Henrietta Maria of France,,"[""Kingdom of England"",""St George's Chapel Windsor Castle""]",,,1649-01-30,1600-11-19,"[""Wars of the Three Kingdoms"",""Interregnum (England)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_I_of_Hungary,1301,"[""Otto III Duke of Bavaria"",""Andrew III of Hungary""]","[""Charles Martel of Anjou"",""Clemence of Austria""]",Visegrád,Louis I of Hungary,,1342,,,,"[""Elizabeth of Poland Queen of Hungary"",""Beatrice of Luxembourg"",""Maria of Bytom""]",,Székesfehérvár Basilica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_I_of_Naples,1266,Manfred King of Sicily,"[""Louis VIII of France"",""Blanche of Castile""]","[""Kingdom of Naples"",""Foggia""]","[""Peter III of Aragon"",""Charles II of Naples""]",King of Sicily Naples and Albania; Prince of Achaea; Count of Provence Forcalquier Anjou and Maine,1285,Kingdom of France,,,"[""Margaret of Burgundy Queen of Sicily"",""Beatrice of Provence""]",,"[""Paris"",""Basilica of St Denis"",""France"",""Saint-Denis Seine-Saint-Denis""]",,,1285-01-07,1227-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_I_of_Württemberg,1864,William I of Württemberg,"[""William I of Württemberg"",""Pauline Therese of Württemberg""]","[""Stuttgart"",""Kingdom of Württemberg""]",William II of Württemberg,King of Württemberg,1891,"[""Stuttgart"",""Kingdom of Württemberg""]",,,Olga Nikolaevna of Russia,,,,,1891-10-06,1823-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_Jessel,,,,,,,,,British businessman,1928,,1860,,,,1928-07-15,1860-05-11,,,,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,
"Charles_Jules,_Prince_of_Rochefort",,,Charles Prince of Rochefort,,,Prince of Rochefort,,"[""Paris"",""France""]",french prince,1811,,1729,,,,1811-05-18,1729-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles_Kanaʻina,,,,"[""Honolulu"",""Oahu""]",,His Honour/His Highness,,,Hawaiian noble and father of King Lunalilo,1877,Kekāuluohi,1801,Kawaiahaʻo Church,,,1877-03-13,,,Legislature of the Kingdom of Hawaii,-157.81333333333333,21.27111111111111,21.27111111111111 -157.81333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_Louis,_Count_of_Marsan",,,Charles Count of Marsan,"[""Paris"",""France""]",,Prince of Pons,,France,French noble,1755,,1696,,,,1755-11-02,1696-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_Louis,_Hereditary_Prince_of_Baden",,,"[""Charles Frederick Grand Duke of Baden"",""Landgravine Caroline Louise of Hesse-Darmstadt""]",Arboga,,Hereditary Prince of Baden,,"[""Karlsruhe"",""Karlsruhe Palace""]",,,Princess Amalie of Hesse-Darmstadt,,Pforzheim,,,1801-12-16,1755-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles_Louis,_Prince_of_Anhalt-Bernburg-Schaumburg-Hoym",,,Victor I Prince of Anhalt-Bernburg-Schaumburg-Hoym,"[""Schaumburg"",""Schaumburg Castle Rhineland-Palatinate""]",,Prince of Anhalt-Bernburg-Schaumburg-Hoym,,"[""Schaumburg"",""Schaumburg Castle Rhineland-Palatinate""]",Prince of Anhalt-Bernburg-Schaumburg-Hoym (1772-1806),1806,Benjamine_Gertrude_Keiser,1723,,Karl Ludwig von Anhalt-Bernburg-Schaumburg-Hoym,,1806-08-20,1723-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danilo,_Crown_Prince_of_Montenegro",1921,Nikola I Petrović-Njegoš,"[""Nikola I Petrović-Njegoš"",""Milena Vukotić""]","[""Nazi Germany"",""Vienna""]",Michael Prince of Montenegro,Crown Prince of Montenegro,1921,"[""Cetinje"",""Principality of Montenegro""]",,,Duchess Jutta of Mecklenburg-Strelitz,,,,"[""Danilo"",""List of rulers of Montenegro""]",1939-09-24,1871-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danilo_I,_Prince_of_Montenegro",1851,Petar II Petrović-Njegoš,,"[""Austria-Hungary"",""Kotor""]",Nikola I Petrović-Njegoš,"[""Prince-Bishop of Montenegro"",""Prince of Montenegro""]",1851,"[""Prince-Bishopric of Montenegro"",""Njeguši""]",,,Darinka Kvekić,,,,"[""Danilo I Metropolitan of Cetinje"",""Danilo"",""Crown_Prince_of_Montenegro""]",1860-08-13,1826-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dantidurga,,,,,Krishna I,Rajadhiraja Parameshvara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dantivarman,,Nandivarman II,Nandivarman II,,Nandivarman III,,,,King of Pallava,0846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daoguang_Emperor,0003,Jiaqing Emperor,"[""Jiaqing Emperor"",""Empress Xiaoshurui""]","[""Beijing"",""Old Summer Palace""]",Xianfeng Emperor,,1820,"[""Forbidden City"",""Beijing""]",,,"[""Empress Xiaoquancheng"",""Empress Xiaojingcheng"",""Empress Xiaoshencheng"",""Empress Xiaomucheng""]",,Western Qing tombs,,,1850-02-25,1782-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dara_Rasmi,,,"[""Inthawichayanon"",""Thepkraisorn""]","[""Thailand"",""Chiang Mai""]",,"[""Princess Consort of Siam"",""Princess of Chiang Mai""]",,Kingdom of Chiang Mai,,,Chulalongkorn,,,,,1933-12-09,1873-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dara_Shikoh,1628,,"[""Shah Jahan"",""Mumtaz Mahal""]","[""India"",""Delhi""]",,Crown Princeof theMughal Empire,1658,"[""Ajmer"",""India"",""Rajasthan""]",,,,,"[""Delhi"",""Humayun's Tomb""]",,,1659-08-30,1615-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daraisung_Guden_Khan,,Bodi Alagh Khan,Bodi Alagh Khan,,,Khagan of the Mongols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darejan_Dadiani,1750,,,"[""Russian Empire"",""Saint Petersburg""]",,,1762,Principality of Mingrelia,Queen of Georgia,1807,Heraclius II of Georgia,1738,,Daria,,1807-11-08,1738-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darejan_of_Kakheti,_Queen_of_Imereti",1639,,"[""Teimuraz I of Kakheti"",""Khorashan of Kartli""]",Kutaisi,,,1660,,Georgian princess,1668,"[""Alexander III of Imereti"",""Vakhtang of Imereti"",""Zurab_Duke_of_Aragvi""]",1614,,Nestan-Darejan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darge_Sahle_Selassie,,,"[""Negus"",""Woizero""]",,,,,,,,,,,,,1900-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darimani,,,,,,Yaa Naa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darinka_Kvekić,,,,Venice,,Princess consort of Montenegro,,Trieste,Princess of Montenegro,1892,Danilo I Prince of Montenegro,1838,,,,1892-02-02,1838-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius_III,0336,Arses of Persia,"[""Arsames_of_Ostanes"",""Sisygambis""]",Bactria,Bessus,,,Iran,,,Stateira I,,Persepolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dasharatha_Maurya,,Ashoka,,,Samprati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daudi_Kintu_Wasajja,,,"[""Mutesa II of Buganda"",""Winifred_Keihangwe""]",,,,,"[""Kampala"",""Buganda"",""Uganda""]",Buganda Prince,,,1966,,,,,1966-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daughter_of_Emperor_Xiaoming_of_Northern_Wei,0528,Emperor Xiaoming of Northern Wei,"[""Emperor Xiaoming of Northern Wei"",""Consort_Pan_(Xiaoming)""]",,Yuan Zhao,,0528,"[""China"",""Northern Wei"",""Luoyang"",""Henan""]",,,,,,,,,0528-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daulat_Rao_Sindhia,,,Anand_Rao_Scindia,,,Maharaja (Ruler ofGwalior) Vakil-al-Mutlaq (Regent of the Empire) Amir-al-Umara'' (Head of the amirs),,,,,,,,,,1827-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daulat_Sultan_Khanum,,,"[""Shah Begum"",""Yunus Khan""]",,,Princess ofMoghulistan,,,daughter ofYunus Khan,1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daurama,,Kabara_Hamata,Hamata,"[""Northern Region Nigeria"",""Daura""]",,,,"[""Katsina"",""Northern Region Nigeria"",""Tsohon_Birni""]",,,,,Birni_Ta_Kusheyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daurentius,0577,,,,,Chieftain of the Sclaveni,0579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David,_Earl_of_Huntingdon",,,"[""Henry of Scotland"",""Ada de Warenne""]",,,Earl of Huntingdon,,,,,Matilda of Chester Countess of Huntingdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_Bagration_of_Mukhrani,2008,Jorge Bagration of Mukhrani,Jorge Bagration of Mukhrani,,,,,"[""Spain"",""Madrid""]",Georgian Royal,,Ana Bagration-Gruzinsky,1976,,,,,1976-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_Bagrationi_(born_1948),,,Irakli Bagrationi (1925–2013),,,,,"[""Tbilisi"",""Georgia (country)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_Gruzinsky,,,"[""Prince Bagrat of Georgia"",""Cholokashvili""]","[""Moscow"",""Russian Empire""]",,,,,,,,,,,,1888-09-24,1819-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_III_of_Tao,0966,Bagrat II of Tao,Adarnase V of Tao,Tao-Klarjeti,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_II_of_Kakheti,1709,Heraclius I of Kakheti,"[""Heraclius I of Kakheti"",""Cholokashvili""]",,Constantine II of Kakheti,,1722,,King of Kakheti,1722,,1679,"[""Iran"",""Qom""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_II_of_Scotland,1329,Robert the Bruce,"[""Robert the Bruce"",""Elizabeth de Burgh""]",Edinburgh Castle,Robert II of Scotland,,1329,"[""Fife"",""Dunfermline Palace""]",,,"[""Joan of the Tower"",""Margaret Drummond Queen of Scotland""]",,Holyrood Abbey,,,1371-02-22,1324-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_IV_of_Georgia,1089,George II of Georgia,George II of Georgia,Tbilisi,Demetrius I of Georgia,King of Kings of Georgia,1125,Kutaisi,,,"[""Family of David IV of Georgia"",""Gurandukht_of_the_Kipchaks""]",,Gelati Monastery,,,1125-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_I_of_Iberia,0876,Bagrat I of Iberia,Bagrat I of Iberia,,Gurgen I of Tao,,0876,,Georgian prince,0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_I_of_Kakheti,1601,Alexander II of Kakheti,"[""Alexander II of Kakheti"",""Amilakhvari""]",,Alexander II of Kakheti,,1602,,King of Kakheti,1602,Ketevan the Martyr,1569,,,David of Kakheti,1602-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_Kamehameha,,,"[""Kīnaʻu"",""Kekūanāoʻa""]","[""Honolulu"",""Oahu""]",,Prince of Hawaiʻi,,"[""Honolulu"",""Oahu""]",Hawaiian prince,1835,,1829,Royal Mausoleum of Hawaii,,,1835-12-15,"[""1828-05-20"",""1829-07-20""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_Kawānanakoa,,,"[""David Kahalepouli Piikoi"",""Victoria Kinoiki Kekaulike""]","[""California"",""San Francisco""]",,Prince of Hawaii,,"[""Honolulu"",""Oahu""]",,,Abigail Campbell Kawānanakoa,,Royal Mausoleum of Hawaii,,,1908-06-02,1868-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_Soslan,1187,,,,,,1207,,,,Tamar of Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David_Stewart,_Earl_of_Strathearn",,,"[""Robert II of Scotland"",""Euphemia de Ross""]",,,Earl of StrathearnandCaithness,,,Scottish Earl,1386,,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_VIII_of_Georgia,1292,Vakhtang II of Georgia,"[""Demetrius II of Georgia"",""Manuel I of Trebizond""]",,George VI of Georgia,,1311,,,,"[""Oljath"",""Surameli""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_VII_of_Georgia,1247,David VI of Georgia,George IV of Georgia,Tbilisi,Demetrius II of Georgia,King of Kings of Georgia,1270,,,,"[""Jigda-Khatun"",""Gvantsa Kakhaberidze"",""Esukan""]",,"[""Mtskheta"",""Svetitskhoveli Cathedral""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_VI_of_Georgia,1245,Rusudan of Georgia,"[""Rusudan of Georgia"",""Ghias ad-din""]",Tbilisi,David VII of Georgia,King of Kings of Georgia,1259,,,,,,Gelati Monastery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_V_of_Georgia,1154,Demetrius I of Georgia,Demetrius I of Georgia,,Demetrius I of Georgia,King of Georgia,1155,,,,,,Gelati Monastery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_XI_of_Kartli,1562,Simon I of Kartli,"[""Luarsab I of Kartli"",""Tamar of Imereti""]",,Simon I of Kartli,,1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David_X_of_Kartli,1505,Constantine II of Georgia,Constantine II of Georgia,,George IX of Kartli,,1525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davyd_Rostislavich,1180,Roman I of Kiev,Rostislav I of Kiev,,Mstislav III of Kiev,Prince of Smolensk,1197,,,,,,,,,1197-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davyd_Sviatoslavich,1097,Oleg I of Chernigov,Sviatoslav II of Kiev,Chernihiv,Yaroslav_Sviatoslavich,Prince of Chernigov,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawar,,,Khusrau Mirza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawit_II,1507,Na'od,Na'od,,Gelawdewos,Emperor of Ethiopia,1540,"[""Debre Damo"",""Tigray Province""]",,,,,"[""Debre Damo"",""Abba_Aragwi_Monastery""]",,,1540-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayan_Khan,1479,Manduul Khan,,Mongolia,Bars Bolud Jinong,Khaganof theMongolsorGreat Yuan,1517,Mongolia,,,Mandukhai Khatun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayang_Kalangitan,1450,Rajah Lontok,Rajah Gambang,,Rajah Sulaiman I,Queen ofTondoandNamayan,1515,,,,Rajah Lontok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De_Neufville_baronets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De_Raedt_baronets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deborah_Kapule,,,,"[""Kauai"",""Waimea Kauai County Hawaii""]",,,,"[""Kauai"",""Waimea Kauai County Hawaii""]",last Queen of the Kauaʻi,,"[""Kamehameha II"",""Kaumualii"",""Kealiiahonui""]",1798,,Deborah Kekaihaʻakūlou Kapule,,1853-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debsirindra,1851,,,"[""Thailand"",""Bangkok""]",,,1861,"[""Thailand"",""Bangkok""]",,,Mongkut,,,,,1862-09-09,1834-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decentius,0350,,,Sens,,Usurperof theRoman Empire,0353,,,,,,,,,0353-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decline_and_fall_of_Pedro_II_of_Brazil,1831,Pedro I of Brazil,"[""Pedro I of Brazil"",""Maria Leopoldina of Austria""]",French Third Republic,,,1831,"[""Rio de Janeiro (state)"",""Paço de São Cristóvão""]",Emperor of Brazilfrom 7 April 1831 until deposed on 15 November 1889 Pedro II was the last ruler of theEmpire of Brazil,1891,Teresa Cristina of the Two Sicilies,1825,,Pedro de Alcântara João Carlos Leopoldo Salvador Bibiano Francisco Xavier de Paula Leocádio Miguel Gabriel Rafael Gonzaga (full name); Peter II (English),,1891-12-05,1825-12-02,,,,,,,,Hino da Independência,http://dbpedia.org/resource/Hino_da_Independência,,,,,,,,,,,,,,,,,,,,,,,
Dedo_I_of_Wettin,,,"[""Theodoric I of Wettin"",""Jutta_of_Merseburg""]",,,,,,,,Thietberga_of_Nordmark,,,,,1009-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrius_Augustine_Gallitzin,,,"[""Dmitri Alekseyevich Gallitzin"",""Adelheid Amalie Gallitzin""]","[""Pennsylvania"",""Loretto Pennsylvania"",""United States""]",,,,"[""Netherlands"",""South Holland"",""The Hague""]",,,,,"[""Pennsylvania"",""Loretto Pennsylvania""]",,,1840-05-06,1770-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrius_II_of_Georgia,1270,David VII of Georgia,"[""David VII of Georgia"",""Gvantsa Kakhaberidze""]",,Vakhtang II of Georgia,King of Kings of Georgia,1289,,,,House of Jaqeli,,"[""Mtskheta"",""Svetitskhoveli Cathedral""]",,,1289-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrius_I_of_Bactria,,Euthydemus I,Euthydemus I,,,Greco-Bactrian/Indo-Greekking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
